F,Catch,Biomass
0.01,25765,2589409
0.02,49254,2487395
0.03,70529,2386396
0.04,89651,2286401
0.05,106681,2187402
0.06,121676,2089387
0.07,134695,1992348
0.08,145793,1896275
0.09,155024,1801157
0.1,162441.2,1706986
0.11,168097.9,1613752
0.12,172044.4,1521445
0.13,174330.6,1430058
0.14,175005,1339579
0.15,174115.3,1250002
0.16,171708,1161318
0.17,167828.9,1073520
0.18,162523.3,986605.4
0.2,147816.8,815454.3
0.21,138516.4,731282.4
0.22,128000.3,648164.7
0.23,116357,566306.9
0.24,103718.3,486091.3
0.25,90288.72,408178.3
0.26,76380.29,333613.5
0.27,62440.47,263884.4
0.28,49045.35,200827.5
0.29,36830.37,146305.3
0.3,26356.48,101691.1
0.31,17962.06,67386.43
0.32,11682.55,42660.26
0.33,7283.77,25913.86
0.34,4378.482,15190.95
0.35,2553.349,8646.277
0.36,1452.862,4805.652
0.37,810.666,2621.261
0.38,445.4048,1408.891
0.39,241.7658,748.6327
0.4,129.983,394.2704
0.41,69.36011,206.2142
0.42,36.79188,107.2796
0.43,19.42474,55.58011
0.44,10.21764,28.70416
0.45,5.359002,14.78868
0.46,2.80438,7.605793
0.47,1.465011,3.906721
0.48,0.7643434,2.005011
0.49,0.39842,1.028516
0.5,0.2075563,0.5275032
